from,to,relationship
VDL,500,1
KLI,500,1
NRO,500,1
WAG,500,1
STE,500,1
VDL,CDU,2
KLI,SPD,2
NRO,CDU,2
WAG,LINKE,2
LIN,501,1
KAS,501,1
MEL,501,1
DUN,501,1
ELE,501,1
LIN,FDP,2
BAE,502,1
TIM,502,1
AME,502,1
GRL,502,1
ERA,502,1
BAE,GREEN,2
GRL,FDP,2
HAB,503,1
CMA,503,1
KAP,503,1
KIE,503,1
HAB,GREEN,2
KIE,CDU,2
BAB,504,1
HEU,504,1
WEI,504,1
LAM,504,1
LAM,SPD,2
OLS,505,1
OLS,SPD,2
SOE,506,1
GRI,506,1
BEC,506,1
MIC,506,1
SOE,CSU,2
BEC,GREEN,2
ESK,507,1
ASZ,507,1
WAD,507,1
FEL,507,1
ESK,SPD,2
ASZ,FDP,2
WAD,CDU,2
KUE,508,1
BHA,508,1
RUP,508,1
WEL,508,1
KUE,SPD,2
BHA,GREEN,2
RUP,CDU,2
ROT,510,1
VAK,510,1
MAS,510,1
ROT,SPD,2
VAK,LINKE,2
KUL,511,1